,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
CdCl2,in 200 H2O,,,,183.3060,-,-405.275,-,-,-,-,
CdCl2,in 400 H2O,,,,183.3060,-,-405.948,-,-,-,-,
CdCl2,in 500 H2O,,,,183.3060,-,-406.137,-,-,-,-,
CdCl2,in 800 H2O,,,,183.3060,-,-406.492,-,-,-,-,
CdCl2,in 1000 H2O,,,,183.3060,-,-406.651,-,-,-,-,
CdCl2,in 2000 H2O,,,,183.3060,-,-407.145,-,-,-,-,
CdCl2,in 3000 H2O,,,,183.3060,-,-407.430,-,-,-,-,
CdCl2,in 5000 H2O,,,,183.3060,-,-407.781,-,-,-,-,
CdCl2,in 10000 H2O,,,,183.3060,-,-408.392,-,-,-,-,
CdCl2,in 50000 H2O,,,,183.3060,-,-409.522,-,-,-,-,
CdCl2,in 100000 H2O,,,,183.3060,-,-409.747,-,-,-,-,
CdCl2,in ∞ H2O,,,,183.3060,-,-410.20,-,-,-,-,
CdCl2·H2O,,,,cr,201.3214,-,-688.44,-586.975,-,167.8,-,
CdCl2·2.5H2O,,,,cr,228.3445,-,-1131.94,-943.939,-,227.2,-,
CdCl3<sup>-</sup>,,,,ao,218.7590,-,-561.1,-487.0,-,202.9,-,
Cd(ClO4)2,,,,ai,311.3012,-,-334.55,-94.65,-,290.8,-,
Cd(ClO4)2,in 6.7 H2O,,,,311.3012,-,-320.5,-,-,-,-,
Cd(ClO4)2,in 10 H2O,,,,311.3012,-,-327.6,-,-,-,-,
Cd(ClO4)2,in 20 H2O,,,,311.3012,-,-331.4,-,-,-,-,
Cd(ClO4)2,in 30 H2O,,,,311.3012,-,-332.6,-,-,-,-,
Cd(ClO4)2,in 50 H2O,,,,311.3012,-,-333.9,-,-,-,-,
Cd(ClO4)2,in 100 H2O,,,,311.3012,-,-334.3,-,-,-,-,
Cd(ClO4)2,in 1000 H2O,,,,311.3012,-,-334.3,-,-,-,-,
Cd(ClO4)2·6H2O,,,,cr,419.3936,-,-2052.7,-,-,-,-,
CdCl2·2HCl·7H2O,,,,cr,382.3358,-,-2739.7,-,-,-,-,
Cd(OH)Cl,,,,cr,164.8604,-,-497.9,-425.9,-,88.,-,
Cd(OH)Cl,,,,ao,164.8604,-,-,-403.7,-,-,-,
CdBr<sup>+</sup>,,,,ao,192.3090,-,-200.8,-193.94,-,39.7,-,
CdBr2,,,,cr,272.2180,-303.152,-316.18,-296.31,17.719,137.2,76.65,
CdBr2,,,,ai,272.2180,-,-318.99,-285.52,-,91.6,-,
CdBr2,,,,ao,272.2180,-,-,-302.1,-,-,-,
CdBr2,in 13.45 H2O,,,,272.2180,-,-319.557,-,-,-,-,
CdBr2,in 100 H2O,,,,272.2180,-,-319.068,-,-,-,-,
CdBr2,in 200 H2O,,,,272.2180,-,-319.210,-,-,-,-,
CdBr2,in 400 H2O,,,,272.2180,-,-319.373,-,-,-,-,
CdBr2,in 500 H2O,,,,272.2180,-,-319.423,-,-,-,-,
CdBr2,in 800 H2O,,,,272.2180,-,-319.532,-,-,-,-,
CdBr2,in 1000 H2O,,,,272.2180,-,-319.557,-,-,-,-,
CdBr2,in 2000 H2O,,,,272.2180,-,-319.545,-,-,-,-,
CdBr2,in 5000 H2O,,,,272.2180,-,-319.390,-,-,-,-,
CdBr2,in 10000 H2O,,,,272.2180,-,-319.277,-,-,-,-,
CdBr2,in 20000 H2O,,,,272.2180,-,-319.143,-,-,-,-,
CdBr2,in 50000 H2O,,,,272.2180,-,-319.030,-,-,-,-,
CdBr2,in 100000 H2O,,,,272.2180,-,-318.984,-,-,-,-,
CdBr2,in 500000 H2O,,,,272.2180,-,-318.959,-,-,-,-,
CdBr2,in ∞ H2O,,,,272.2180,-,-318.99,-,-,-,-,
CdBr2·4H2O,,,,cr,344.2796,-,-1492.56,-1247.837,-,316.3,-,
CdBr3<sup>-</sup>,,,,ao,352.1270,-,-,-407.5,-,-,-,
CdBrOH,,,,cr,209.3164,-,-454.8,-,-,-,-,
CdI<sup>+</sup>,,,,ao,239.3044,-,-141.0,-141.4,-,43.1,-,
CdI2,,,,cr,366.2088,-203.01,-203.3,-201.38,19.100,161.1,79.96,
CdI2,,,,ai,366.2088,-,-186.27,-180.75,-,149.4,-,
CdI2,,,,ao,366.2088,-,-,-201.3,-,-,-,
CdI2,in 400 H2O,,,,366.2088,-,-198.008,-,-,-,-,
CdI2,in 500 H2O,,,,366.2088,-,-197.493,-,-,-,-,
CdI2,in 800 H2O,,,,366.2088,-,-196.564,-,-,-,-,
CdI2,in 1000 H2O,,,,366.2088,-,-196.125,-,-,-,-,
CdI2,in 2000 H2O,,,,366.2088,-,-194.682,-,-,-,-,
CdI2,in 5000 H2O,,,,366.2088,-,-192.841,-,-,-,-,
CdI2,in 10000 H2O,,,,366.2088,-,-191.230,-,-,-,-,
CdI2,in 20000 H2O,,,,366.2088,-,-190.004,-,-,-,-,
CdI2,in 50000 H2O,,,,366.2088,-,-188.560,-,-,-,-,
CdI2,in 100000 H2O,,,,366.2088,-,-187.724,-,-,-,-,
CdI2,in 500000 H2O,,,,366.2088,-,-186.690,-,-,-,-,
CdI2,in ∞ H2O,,,,366.2088,-,-186.27,-,-,-,-,
CdI2,in CH3OH:u,,,,366.2088,-,-233.5,-,-,-,-,
CdI2,in C2H5OH:u,,,,366.2088,-,-223.8,-,-,-,-,
CdI3<sup>-</sup>,,,,ao,493.1132,-,-,-259.4,-,-,-,
CdI4<sup>2-</sup>,,,,ao,620.0176,-,-341.8,-315.9,-,326.,-,
Cd(IO3)2,,,,cr,462.2052,-,-,-377.01,-,-,-,
Cd(IO3)2,,,,ai,462.2052,-,-518.4,-333.4,-,163.6,-,
CdIOH,,,,cr,256.3118,-,-375.7,-,-,-,-,
CdS,,,,cr,144.4640,-,-161.9,-156.5,-,64.9,-,
CdSO4,,,,cr,208.4616,-923.492,-933.28,-822.72,18.217,123.039,99.58,
CdSO4,,,,ai,208.4616,-,-985.16,-822.13,-,-53.1,-,
CdSO4,in 15 H2O,,,,208.4616,-,-972.24,-,-,-,-,
CdSO4,in 20 H2O,,,,208.4616,-,-974.33,-,-,-,-,
CdSO4,in 30 H2O,,,,208.4616,-,-976.00,-,-,-,-,
CdSO4,in 50 H2O,,,,208.4616,-,-976.92,-,-,-,-,
CdSO4,in 75 H2O,,,,208.4616,-,-977.55,-,-,-,-,
CdSO4,in 100 H2O,,,,208.4616,-,-977.88,-,-,-,-,
CdSO4,in 150 H2O,,,,208.4616,-,-978.30,-,-,-,-,
CdSO4,in 200 H2O,,,,208.4616,-,-978.55,-,-,-,-,
CdSO4,in 400 H2O,,,,208.4616,-,-979.223,-,-,-,-,
CdSO4,in 500 H2O,,,,208.4616,-,-979.449,-,-,-,-,
CdSO4,in 800 H2O,,,,208.4616,-,-979.884,-,-,-,-,
CdSO4,in 1000 H2O,,,,208.4616,-,-980.495,-,-,-,-,
CdSO4,in 2000 H2O,,,,208.4616,-,-980.721,-,-,-,-,
CdSO4,in 3000 H2O,,,,208.4616,-,-981.119,-,-,-,-,
CdSO4,in 5000 H2O,,,,208.4616,-,-981.675,-,-,-,-,
CdSO4,in 7000 H2O,,,,208.4616,-,-982.052,-,-,-,-,
CdSO4,in 10000 H2O,,,,208.4616,-,-982.428,-,-,-,-,
CdSO4,in 20000 H2O,,,,208.4616,-,-983.123,-,-,-,-,
CdSO4,in 50000 H2O,,,,208.4616,-,-983.859,-,-,-,-,
CdSO4,in 100000 H2O,,,,208.4616,-,-984.286,-,-,-,-,
CdSO4,in 500000 H2O,,,,208.4616,-,-984.863,-,-,-,-,
CdSO4,in ∞ H2O,,,,208.4616,-,-985.16,-,-,-,-,
CdSO4·H2O,,,,cr,226.4770,-1222.092,-1239.55,-1068.73,23.355,154.030,134.56,
CdSO4·8/3H2O,,,,cr,256.5026,-1702.721,-1729.4,-1465.141,35.551,229.630,213.26,
CdS2O6,in 800 H2O,,,,272.5244,-,-1272.8,-,-,-,-,
CdSO4·2.5H2SO4,,,,cr,453.6556,-,-3220.0,-,-,-,-,
CdSO4·2Cd(OH)2,,,,cr,501.2912,-,-,-1797.3,-,-,-,
(CdSO4)2·Cd(OH)2,,,,cr,563.3380,-,-,-2157.9,-,-,-,
CdSe,,,,cr,191.3600,-,-,-,-,-,-,
CdSeO3,,,,cr,239.3582,-,-575.3,-497.8,-,142.3,-,
CdSeO3,,,,ai,239.3582,-,-584.9,-447.2,-,-60.2,-,
CdSeO4,,,,cr,255.3576,-,-633.0,-531.7,-,164.4,-,
CdSeO4,,,,ai,255.3576,-,-674.9,-518.8,-,-19.2,-,
CdSeO4,in 1200 H2O,,,,255.3576,-,-680.3,-,-,-,-,
CdSeO4·H2O,,,,cr,273.3730,-,-942.2,-,-,-,-,
CdTe,,,,cr,240.0000,-,-92.5,-92.0,-,100.,-,
CdN3<sup>+</sup>,,,,ao,154.4201,-,-,262.0,-,-,-,
Cd(N3)2,,,,cr,196.4402,-,452.,-,-,-,-,
Cd(N3)2,,,,ai,196.4402,-,474.38,618.9,-,142.7,-,
Cd(N3)2,,,,ao,196.4402,-,-,604.7,-,-,-,
Cd(N3)3<sup>-</sup>,,,,ao,238.4603,-,-,949.1,-,-,-,
Cd(N3)4<sup>2-</sup>,,,,ao,280.4804,-,-,1295.2,-,-,-,
Cd3N2,,,,cr,365.2134,-,161.9,-,-,-,-,
CdNO2<sup>+</sup>,,,,ao,158.4055,-,-,-123.4,-,-,-,
Cd(NO3)2,,,,cr,236.4098,-,-456.31,-,-,-,-,
Cd(NO3)2,,,,ai,236.4098,-,-490.62,-300.11,-,219.7,-,
Cd(NO3)2,in 2.5 H2O,,,,236.4098,-,-467.31,-,-,-,-,
Cd(NO3)2,in 3.0 H2O,,,,236.4098,-,-470.16,-,-,-,-,
Cd(NO3)2,in 3.5 H2O,,,,236.4098,-,-472.67,-,-,-,-,
Cd(NO3)2,in 4.0 H2O,,,,236.4098,-,-474.76,-,-,-,-,
Cd(NO3)2,in 4.5 H2O,,,,236.4098,-,-476.43,-,-,-,-,
Cd(NO3)2,in 5.0 H2O,,,,236.4098,-,-477.77,-,-,-,-,
Cd(NO3)2,in 6 H2O,,,,236.4098,-,-480.20,-,-,-,-,
Cd(NO3)2,in 7 H2O,,,,236.4098,-,-481.58,-,-,-,-,
Cd(NO3)2,in 8 H2O,,,,236.4098,-,-482.83,-,-,-,-,
Cd(NO3)2,in 9 H2O,,,,236.4098,-,-483.80,-,-,-,-,
Cd(NO3)2,in 10 H2O,,,,236.4098,-,-484.51,-,-,-,-,
Cd(NO3)2,in 12 H2O,,,,236.4098,-,-485.60,-,-,-,-,
Cd(NO3)2,in 15 H2O,,,,236.4098,-,-486.56,-,-,-,-,
Cd(NO3)2,in 20 H2O,,,,236.4098,-,-487.377,-,-,-,-,
Cd(NO3)2,in 25 H2O,,,,236.4098,-,-488.160,-,-,-,-,
Cd(NO3)2,in 50 H2O,,,,236.4098,-,-488.377,-,-,-,-,
Cd(NO3)2,in 100 H2O,,,,236.4098,-,-488.620,-,-,-,-,
Cd(NO3)2,in 200 H2O,,,,236.4098,-,-488.750,-,-,-,-,
Cd(NO3)2,in 400 H2O,,,,236.4098,-,-488.86,-,-,-,-,
Cd(NO3)2,in 500 H2O,,,,236.4098,-,-488.884,-,-,-,-,
Cd(NO3)2,in 1000 H2O,,,,236.4098,-,-488.959,-,-,-,-,
Cd(NO3)2,in 2000 H2O,,,,236.4098,-,-489.001,-,-,-,-,
Cd(NO3)2,in 5000 H2O,,,,236.4098,-,-489.055,-,-,-,-,
Cd(NO3)2,in 10000 H2O,,,,236.4098,-,-489.093,-,-,-,-,
Cd(NO3)2,in ∞ H2O,,,,236.4098,-,-490.62,-,-,-,-,
Cd(NO3)2·2H2O,,,,cr,272.4406,-,-1055.62,-,-,-,-,
Cd(NO3)2·4H2O,,,,cr,308.4714,-,-1648.96,-,-,-,-,
Cd(NH3)<sup>2+</sup>,,,,ao,129.4307,-,-,-118.8,-,-,-,
Cd(NH2)2,,,,cr,144.4454,-,-57.7,-,-,-,-,
Cd(N2H4)<sup>2+</sup>,,,,ao,144.4454,-,-,37.3,-,-,-,
Cd(NH3)2<sup>2+</sup>,,,,ao,146.4614,-,-266.1,-158.9,-,144.8,-,
Cd(N2H4)2<sup>2+</sup>,,,,ao,176.4908,-,-,164.6,-,-,-,
Cd(NH3)4<sup>2+</sup>,,,,ao,180.5228,-,-450.2,-226.1,-,336.4,-,
Cd(N2H4)3<sup>2+</sup>,,,,ao,208.5362,-,-,290.6,-,-,-,
Cd(N2H4)4<sup>2+</sup>,,,,ao,240.5816,-,-,412.5,-,-,-,
Cd(NH3)(NO3)2,,,,aq,253.4405,-,-582.8,-,-,-,-,
Cd(NH3)2(NO3)2,,,,aq,270.4712,-,-677.4,-,-,-,-,
Cd(NH3)3(NO3)2,,,,aq,287.5019,-,-771.5,-,-,-,-,
Cd(NH3)4(NO3)2,,,,aq,304.5326,-,-866.1,-,-,-,-,
Cd(NH3)5(NO3)2,,,,aq,321.5633,-,-960.6,-,-,-,-,
Cd(NH3)6(NO3)2,,,,aq,338.5940,-,-1055.2,-,-,-,-,
CdCl2·NH3,,,,cr,200.3367,-,-519.,-,-,-,-,
CdCl2·NH4Cl·0.5H2O,,,,cr,245.8054,-,-868.6,-,-,-,-,
CdCl2·2NH3,,,,cr,217.3674,-,-636.0,-443.8,-,213.,-,
CdCl2·4NH3,,,,cr,251.4288,-,-817.6,-485.9,-,331.,-,
CdCl2·4NH4Cl,,,,cr,397.2728,-,-1653.5,-,-,-,-,
CdCl2·6NH3,,,,cr,285.4902,-,-995.4,-527.6,-,456.9,-,
CdCl2·10NH3,,,,cr,353.6130,-,-1300.4,-,-,-,-,
CdBr2·NH3,,,,cr,289.2487,-,-432.2,-,-,-,-,
CdBr2·NH4Br·0.5H2O,,,,cr,379.1734,-,-720.1,-,-,-,-,
CdBr2·2NH3,,,,cr,306.2794,-,-550.2,-,-,-,-,
CdBr2·6NH3,,,,cr,374.4022,-,-913.8,-,-,-,-,
CdBr2·12NH3,,,,cr,476.5864,-,-1376.1,-,-,-,-,
CdI2·NH4I·0.5H2O,,,,cr,520.1596,-,-561.5,-,-,-,-,
CdI2·2NH3,,,,cr,400.2702,-,-435.1,-,-,-,-,
CdI2·6NH3,,,,cr,468.3930,-,-723.8,-,-,-,-,
(NH4)2Cd2(SO4)3,,,,cr,549.0622,-,-,-,72.300,485.72,393.3,
Cd3P2,,,,cr,399.1476,-,-114.6,-,-,-,-,
CdP2O7<sup>2-</sup>,,,,ao,286.3434,-,-,-2046.2,-,-,-,
Cd3(PO4)2,,,,cr,527.1428,-,-,-2456.3,-,-,-,
CdAs2,,,,cr,262.2432,-,-17.6,-,-,-,-,
Cd3As2,,,,cr,487.0432,-,-41.8,-,-,-,-,
Cd3(AsO4)2,,,,cr,615.0384,-,-,-1716.1,-,-,-,
CdSb,,,,cr,234.1500,-,-14.39,-13.01,-,92.9,-,
Cd3Sb2,,,,cr,580.7000,-,-58.2,-,-,-,-,
CdCO3,,,,cr,172.4094,-,-750.6,-669.4,-,92.5,-,
CdC2O4,,oxalate,,cr,200.4200,-,-912.5,-,-,-,-,
CdC2O4,,,,ai,200.4200,-,-900.8,-751.4,-,-27.6,-,
CdC2O4,,,,ao,200.4200,-,-,-774.4,-,-,-,
CdC2O4·3H2O,,,,cr,254.4662,-,-,-1507.7,-,-,-,
Cd(C2O4)2<sup>2-</sup>,,,,ao,288.4400,-,-,-1458.4,-,-,-,
Cd2C2O42<sup>2+</sup>,,,,ao,312.8200,-,-,-860.2,-,-,-,
CH3Cd<sup>+</sup>,,,,g,127.4352,-,895.,-,-,-,-,
Cd(CH3)2,,,,l,142.4704,-,63.6,139.0,-,201.88,132.01,
Cd(CH3)2,,,,g,142.4704,-,101.55,146.88,-,303.0,-,
(CH3)2Cd<sup>+</sup>,,,,g,142.4704,-,933.9,-,-,-,-,
Cd(CHO2)<sup>+</sup>,,,,ao,157.4180,-,-,-435.9,-,-,-,
Cd(CHO2)2,,formate,,ai,202.4360,-,-927.01,-779.09,-,109.,-,
Cd(CHO2)2,,,,ao,202.4360,-,-,-789.8,-,-,-,
Cd(CH3CO2)<sup>+</sup>,,acetate,,ao,171.4452,-,-,-456.8,-,-,-,
Cd(CHO2)3<sup>-</sup>,,,,ao,247.4540,-,-,-1141.2,-,-,-,
Cd(CHO2)4<sup>2-</sup>,,,,ao,292.4720,-,-,-1489.,-,-,-,
Cd(CH3CO2)2,,,,ai,230.4904,-,-1047.92,-816.22,-,100.0,-,
Cd(CH3CO2)2,,,,ao,230.4904,-,-,-828.3,-,-,-,
Cd(CH3CO2)3<sup>-</sup>,,,,ao,289.5356,-,-,-1200.1,-,-,-,
Cd(CH3CO2)4<sup>2-</sup>,,,,ao,348.5808,-,-,-1567.0,-,-,-,
CdCN<sup>+</sup>,,,,ao,138.4179,-,-,64.4,-,-,-,
Cd(CN)2,,,,cr,164.4358,-,162.3,-,-,-,-,
Cd(CN)2,,,,ai,164.4358,-,225.5,267.4,-,115.1,-,
Cd(CN)2,,,,ao,164.4358,-,-,208.0,-,-,-,
Cd(CN)2,in 600 H2O,,,,164.4358,-,169.0,-,-,-,-,
Cd(CN)3<sup>-</sup>,,,,ao,190.4537,-,-,354.9,-,-,-,
Cd(CN)4<sup>2-</sup>,,,,ao,216.4716,-,428.0,507.6,-,322.,-,
Cd(ONC)2,,cadmium fulminate,,cr,196.4346,-,377.,-,-,-,-,
(Cd(CN)2)2·CdO·5H2O,,,,cr,547.3480,-,-1500.4,-,-,-,-,
Cd(NH2CH3)<sup>2+</sup>,,methylamine,,ao,143.4579,-,-,-72.7,-,-,-,
Cd(NH2CH2CH2NH2)<sup>2+</sup>,,ethylenediamine,,ao,172.4998,-,-199.8*,-,-,-,-,
Cd(NH2CH3)2<sup>2+</sup>,,,,ao,174.5158,-,-245.6,-63.4,-,167.4,-,
Cd(NH2CH3)3<sup>2+</sup>,,,,ao,205.5737,-,-,-49.1,-,-,-,
Cd(NH2CH2CH2NH2)2<sup>2+</sup>,,,,ao,232.5996,-,-320.8*,-,-,-,-,
Cd(NH2CH3)4<sup>2+</sup>,,,,ao,236.6316,-,-413.8,-31.9,-,353.5,-,
Cd(NH2CH2CH2NH2)3<sup>2+</sup>,,,,ao,292.6994,-,-441.1*,-,-,-,-,
Cd(NH2CH2COO)<sup>+</sup>,,glycinate,,ao,186.4599,-,-,-365.6,-,-,-,
Cd(NH2CH2COO)2,,,,ao,260.5198,-,-,-657.5,-,-,-,
Cd(NH2CH2CH2NH2)3Cl2,,,,cr,363.6054,-,-818.14*,-,-,-,-,
Cd(NH2CH2CH2NH2)3Cl2,,,,aq,363.6054,-,-769.77*,-,-,-,-,
Cd(NH2CH2CH2NH2)3Br2,,,,cr,452.5174,-,-734.92*,-,-,-,-,
Cd(NH2CH2CH2NH2)3Br2,,,,aq,452.5174,-,-680.86*,-,-,-,-,
CdCNS<sup>+</sup>,,,,ao,170.4819,-,-,7.5,-,-,-,
Cd(CNS)2,,,,cr,228.5638,-,52.01,-,-,-,-,
Cd(CNS)2,,,,ai,228.5638,-,76.99,107.81,-,215.1,-,
Cd(CNS)2,,,,ao,228.5638,-,-,97.1,-,-,-,
Cd(CNS)3<sup>-</sup>,,,,ao,286.6457,-,-,189.6,-,-,-,
(Cd((NH2)2CS)3)<sup>2+</sup>,,thiourea,,aq,340.7618,-,-341.0,-,-,-,-,
Cd((NH2)2CS)3(NO3)2,,,,aq,464.7716,-,-755.6,-,-,-,-,
CdSiO3,,,,cr,188.4842,-,-1189.09,-1105.36,-,97.5,88.58,
(Cdl2)2·PbI2,,,,cr,1193.4164,-,-535.6,-,-,-,-,
Cd(BO2)2,,,,cr,198.0196,-,-,-1484.71,-,-,-,
Table 35:Hg,,,,,,,,,,,,
Mercury (Prepared 1967),,,,,,,,,,,,
Hg,,,,cr,200.5900,0,-,-,-,-,-,
Hg,,,,l,200.5900,-,0,0,9.343,76.02,27.983,
Hg,,,,g,200.5900,64.463,61.317,31.820,6.197,174.96,20.786,
Hg,,,,ao,200.5900,-,37.7,39.3,-,71.,-,
Hg<sup>+</sup>,,,,g,200.5900,1071.52,1074.58,-,6.197,-,-,
Hg<sup>2+</sup>,,,,g,200.5900,2881.23,2890.47,-,6.197,-,-,
Hg<sup>3+</sup>,,,,g,200.5900,6184.,6192.,-,6.197,-,-,
Hg<sup>2+</sup>,,,,ao,200.5900,-,171.1,164.40,-,-32.2,-,
Hg2,,,,g,401.1800,116.3,108.8,68.2,10.96,288.05,37.40,
Hg2<sup>+</sup>,,,,g,401.1800,1023.4,1022.2,-,-,-,-,
Hg2<sup>2+</sup>,,,,ao,401.1800,-,172.4,153.52,-,84.5,-,
HgO,,,"red, orthorhombic",cr,216.5894,-,-90.83,-58.539,-,70.29,44.06,
HgO,,,yellow,cr2,216.5894,-,-90.46,-58.409,-,71.1,-,
HgO,,,hexagonal,cr3,216.5894,-,-89.5,-58.22,-,73.6,-,
HgO,,,,g,216.5894,-,-,-,9.29,241.9,34.10,
HgH,,,,g,201.5980,244.18,239.32,216.00,8.694,219.60,29.96,
HgOH<sup>+</sup>,,,,ao,217.5974,-,-84.5,-52.3,-,71.,-,
HHgO2<sup>-</sup>,,,,ao,233.5968,-,-,-190.3,-,-,-,
Hg(OH)2,,,,ao,234.6048,-,-355.2,-274.8,-,142.,-,
HgF,,,,g,219.5884,8.,4.2,-17.2,9.29,248.56,34.56,
HgF<sup>+</sup>,,,,ao,219.5884,-,-158.2,-123.4,-,-4.,-,
Hg2F2,,,,cr,439.1768,-,-,-435.5,-,-,-,
HgCl,,,,g,236.0430,88.,84.1,62.7,9.83,259.89,36.32,
HgCl<sup>+</sup>,,,,ao,236.0430,-,-18.8,-5.4,-,75.,-,
HgCl2,,,,cr,271.4960,-,-224.3,-178.6,-,146.0,-,
HgCl2,,,,ao,271.4960,-,-216.3,-173.2,-,155.,-,
HgCl2,in 200 C5H5N in pyridine,,,,271.4960,-,-280.3,-,-,-,-,
HgCl2,in CH3OH:u,,,,271.4960,-,-227.23,-,-,-,-,
HgCl2,in C2H5OH:u,,,,271.4960,-,-224.43,-,-,-,-,
HgCl3<sup>-</sup>,,,,ao,306.9490,-,-388.7,-309.1,-,209.,-,
HgCl4<sup>2-</sup>,,,,ao,342.4020,-,-554.0,-446.8,-,293.,-,
Hg2Cl2,,,,cr,472.0860,-,-265.22,-210.745,-,192.5,-,
HgBr<sup>+</sup>,,,,ao,280.4990,-,6.3,8.8,-,79.,-,
HgBr2,,,,cr,360.4080,-,-170.7,-153.1,-,172.,-,
HgBr2,,,,ao,360.4080,-,-160.7,-143.1,-,172.,-,
HgBr2,in CH3OH:u,,,,360.4080,-,-172.42,-,-,-,-,
HgBr2,in C2H5OH:u,,,,360.4080,-,-172.17,-,-,-,-,
HgBr3<sup>-</sup>,,,,ao,440.3170,-,-293.3,-259.4,-,259.,-,
HgBr4<sup>2-</sup>,,,,ao,520.2260,-,-431.0,-371.1,-,310.,-,
Hg2Br2,,,,cr,560.9980,-,-206.90,-181.075,-,218.,-,
HgBr2·HgO,,,,cr,576.9974,-,-275.3,-,-,-,-,
HgBr2·2HgO,,,,cr,793.5868,-,-370.7,-,-,-,-,
HgBr2·3HgO,,,,cr,1010.1762,-,-469.4,-,-,-,-,
HgBr2·4HgO,,,,cr,1226.7656,-,-566.1,-,-,-,-,
HgBrCl,,,,g,315.9520,-,-,-,14.460,299.47,59.25,
HgBrCl,,,,ao,315.9520,-,-190.4,-161.9,-,167.,-,
HgI,,,,g,327.4944,137.7,132.38,88.42,10.652,281.53,37.61,
HgI<sup>+</sup>,,,,ao,327.4944,-,43.1,39.7,-,79.,-,
HgI2,,,red,cr,454.3988,-,-105.4,-101.7,-,180.,-,
HgI2,,,yellow,cr2,454.3988,-,-102.9,-,-,-,-,
HgI2,,,,g,454.3988,-10.88,-17.2,-59.9,16.23,336.13,61.09,
HgI2,,,,ao,454.3988,-,-79.5,-75.3,-,176.,-,
HgI2,in 200 C5H5N in pyridine,,,,454.3988,-,-147.3,-,-,-,-,
HgI2,in CH3OH:u,,,,454.3988,-,-97.70,-,-,-,-,
HgI3<sup>-</sup>,,,,ao,581.3032,-,-15.27,-148.5,-,301.,-,
HgI4<sup>2-</sup>,,,,ao,708.2076,-,-235.1,-211.7,-,360.,-,
Hg2I2,,,,cr,654.9888,-,-121.34,-111.00,-,233.5,-,
HgICl,,,,ao,362.9474,-,-147.3,-128.9,-,176.,-,
HgBrI,,,,g,407.4034,-,-,-,15.552,320.56,60.84,
HgBrI,,,,ao,407.4034,-,-117.6,-111.7,-,192.,-,
HgIBr3<sup>2-</sup>,,,,ao,567.2214,-,-,-336.95,-,-,-,
HgI2Br2<sup>2-</sup>,,,,ao,614.2168,-,-,-297.66,-,-,-,
HgI3Br<sup>2-</sup>,,,,ao,661.2122,-,-,-256.0,-,-,-,
HgS,,,red,cr,232.6540,-,-58.2,-50.6,-,82.4,48.41,
HgS,,,black,cr2,232.6540,-,-53.6,-47.7,-,88.3,-,
HgS,,,,g,232.6540,-,-,-,9.92,254.75,-,
HgS2<sup>2-</sup>,,,,ao,264.7180,-,-,41.9,-,-,-,
HgSO4,,,,cr,296.6516,-,-707.5,-,-,-,-,
HgSO4,,,,ao,296.6516,-,-,-588.2,-,-,-,
Hg2SO4,,,,cr,497.2416,-,-743.12,-625.815,-,200.66,131.96,
HgSO4·2HgO,,,,cr,729.8304,-,-933.0,-,-,-,-,
Hg(HS)2,,,,ao,266.7340,-,-,-26.7,-,-,-,
HgSe,,,,cr,279.5500,-,-46.,-,-,-,-,
HgSe,,,,g,279.5500,71.,75.7,31.3,10.29,267.13,36.8,
HgSeO3,,,,cr,327.5482,-,-,-284.5,-,-,-,
Hg2SeO3,,,,cr,528.1382,-,-,-297.4,-,-,-,
HgTe,,,,cr,328.1900,-,-42.,-,-,-,-,
HgTe,,,,g,328.1900,-,-,-,10.50,275.12,-,
Hg2(N3)2,,,,cr,485.2202,-,594.1,746.5,-,205.,-,
Hg(NO3)2,in 400 H2O,,,,324.5998,-,-244.3,-,-,-,-,
Hg(NO3)2·0.5H2O,,,,cr,333.6075,-,-392.5,-,-,-,-,
Hg2(NO3)2,in 400 H2O,,,,525.1898,-,-246.0,-,-,-,-,
Hg2(NO3)2·2H2O,,,,cr,561.2206,-,-868.2,-,-,-,-,
Hg(NO3)2·2HgO·H2O,,,,cr,775.7940,-,-750.6,-,-,-,-,
(Hg2N)2O,,Millon's oxide,,cr,846.3728,-,318.8,-,-,-,-,
(Hg2N)2O·H2O,,,,cr,864.3882,-,20.5,-,-,-,-,
(Hg2N)2O·4H2O,,,,cr,918.4344,-,-869.9,-,-,-,-,
Hg(NH3)2<sup>2+</sup>,,,,ao,234.6514,-,-93.7,10.6,-,180.,-,
Hg(NH3)3<sup>2+</sup>,,,,ao,251.6821,-,-187.4,-21.6,-,264.,-,
Hg(NH3)4<sup>2+</sup>,,,,ao,268.7128,-,-282.8,-51.7,-,335.,-,
(NHg2Cl)2·H2O,,,,cr,919.2948,-,-233.9,-,-,-,-,
(NHg2Cl)2·2H2O,,,,cr,937.3102,-,-530.9,-,-,-,-,
(NHg2Cl)2·HgCl2,,,,cr,1172.7754,-,-207.1,-,-,-,-,
HgCl2·NOCl,,,,cr,336.9551,-,-,-109.,-,-,-,
HgCl2·2/3NH3,,,,cr,282.8498,-,-310.0,-,-,-,-,
HgCl2·2NH3,,,,cr,305.5574,-,-461.1,-,-,-,-,
HgCl2·8NH3,,,,cr,407.7416,-,-951.0,-,-,-,-,
HgCl2·9.5NH3,,,,cr,433.2876,-,-1065.7,-,-,-,-,
